Gene	logFC	logCPM	PValue	FDR
Irak1	1.357146643	4.893350508	4.89E-153	6.89E-149
Mecp2	0.812120281	7.61194423	9.45E-64	6.66E-60
Bmper	0.808761913	6.02986817	1.64E-43	7.71E-40
Cacna1g	-0.705698017	6.23164284	1.11E-40	3.91E-37
Ptgfrn	0.591938029	5.307144645	7.00E-37	1.97E-33
Abca8a	-1.095545144	2.780683679	1.12E-33	2.64E-30
Adgrl2	0.523067911	7.979798323	8.57E-29	1.73E-25
Trpc6	-0.534715737	5.438541615	5.77E-27	1.02E-23
Tmc1	-1.547246042	0.700720219	7.45E-23	1.17E-19
Myo3b	-0.755112177	3.346513713	2.19E-22	3.08E-19
Gpr153	-0.588220841	3.624608695	3.38E-21	4.33E-18
Pappa2	-1.089954711	1.411253452	4.25E-21	5.00E-18
Sdk1	0.830834051	7.817129965	4.82E-21	5.22E-18
Myo1b	0.431378791	6.835639011	1.10E-20	1.10E-17
Rpe65	-1.549768316	0.149098319	1.58E-20	1.49E-17
Gm10635	-0.795107953	2.7096044	5.89E-20	5.19E-17
Fgf10	-0.849432942	2.934579008	9.35E-20	7.75E-17
Fgf11	-0.778064171	2.352807231	6.10E-19	4.56E-16
Gm10033	-0.428719425	4.697227891	6.42E-19	4.56E-16
Tead1	0.380337808	6.378931011	6.48E-19	4.56E-16
Grp	-1.074523277	1.058620094	2.04E-18	1.37E-15
Zbtb7c	0.51427679	5.161504394	2.17E-18	1.39E-15
Cdh4	0.517593282	6.714204201	1.05E-17	6.43E-15
Cyp2s1	-0.997675128	1.210403388	2.07E-17	1.20E-14
Stc1	-0.848892409	1.404229521	2.13E-17	1.20E-14
Bmpr1b	0.515320579	6.877812194	2.65E-17	1.43E-14
Slc16a10	0.472548715	4.993921282	7.03E-17	3.67E-14
Tgfbr3	0.366089378	5.974898556	1.06E-16	5.27E-14
Trabd2b	0.705344989	5.155201616	1.08E-16	5.27E-14
Igf2bp2	0.670373848	3.009934112	3.77E-16	1.77E-13
Sema5a	0.451908967	7.602513166	1.42E-15	6.44E-13
Clec18a	-0.916687177	2.024539828	2.10E-15	9.24E-13
Cdh6	0.388363523	6.270615226	9.31E-15	3.98E-12
C1ql1	-0.654338988	2.086397756	1.69E-14	6.99E-12
Vamp1	0.411643469	5.139545992	1.79E-14	7.20E-12
Tspan4	-0.56132369	2.726661545	1.87E-14	7.33E-12
Tbxas1	-0.518081757	2.870287565	1.97E-14	7.52E-12
Wls	-0.421097942	5.904700593	3.98E-14	1.48E-11
Cd302	0.443478437	3.289089459	4.66E-14	1.68E-11
Zak	0.484042428	5.038011169	7.33E-14	2.58E-11
Efnb3	-0.429371846	4.702363296	8.41E-14	2.89E-11
Lifr	0.313162686	6.499036148	1.43E-13	4.81E-11
Eya4	0.430772981	4.943300782	1.59E-13	5.21E-11
Arhgap10	0.38362159	7.099693742	2.83E-13	9.05E-11
Olfr78	-1.324526893	0.321207859	3.00E-13	9.39E-11
Grk5	-0.373480686	5.506807454	3.22E-13	9.88E-11
Cdk6	0.355713211	4.388899557	3.46E-13	1.04E-10
Myrfl	-1.203618141	0.125743039	3.94E-13	1.16E-10
Tenm3	0.476662905	8.825826464	5.33E-13	1.53E-10
Aff1	0.440165126	5.871090512	5.70E-13	1.61E-10
Cftr	-0.613519669	2.767110288	7.00E-13	1.94E-10
Kcns1	0.56077301	2.888074779	7.72E-13	2.09E-10
Amz1	-0.497743166	3.313880361	8.92E-13	2.37E-10
1700086L19Rik	-0.338396368	4.957140532	9.69E-13	2.53E-10
Gm5105	-1.110421095	0.289378342	1.05E-12	2.69E-10
Sh2d4b	-0.801377355	3.225978025	1.24E-12	3.12E-10
March4	-0.408241027	5.310246147	2.53E-12	6.25E-10
Efna5	0.552349093	8.22411045	2.99E-12	7.26E-10
Col6a2	0.547083954	2.911090583	4.78E-12	1.14E-09
Slc24a4	0.34438204	6.799287386	5.62E-12	1.32E-09
Col5a1	0.496639638	4.25818601	5.89E-12	1.36E-09
Scn3b	-0.303791756	5.742536952	7.06E-12	1.61E-09
Lpl	-0.543389984	2.793359703	1.04E-11	2.30E-09
4933432I09Rik	-0.801447805	1.334673156	1.05E-11	2.30E-09
Npas1	-0.729100986	1.351006311	1.13E-11	2.44E-09
Runx2	0.482005912	6.537330217	1.15E-11	2.45E-09
Epb41	0.323910214	7.188001553	1.58E-11	3.33E-09
Cerkl	0.408184545	3.788282865	3.17E-11	6.58E-09
Gm10863	-0.690802908	3.188470116	3.28E-11	6.69E-09
Necab3	-0.394028527	4.592676719	3.91E-11	7.86E-09
Oprk1	-0.419110948	3.645891881	4.08E-11	8.10E-09
Tacr3	-0.74310014	1.460384815	4.25E-11	8.24E-09
Ldlrad3	0.339010003	6.284954825	4.27E-11	8.24E-09
Myt1	-0.290864746	5.741839614	5.65E-11	1.08E-08
