Gene	logFC	logCPM	PValue	FDR
Irak1	1.131768366	5.003497797	1.28E-89	1.82E-85
Cacna1g	-0.747233069	6.357997356	5.82E-44	4.15E-40
Abca8a	-1.081354642	2.833224765	2.58E-36	1.23E-32
Ptgfrn	0.588563649	5.644599851	6.31E-31	2.25E-27
Robo3	-0.904458004	3.499745123	3.05E-22	8.70E-19
Pappa2	-1.178353263	1.421528479	7.00E-22	1.67E-18
Hkdc1	-0.801284366	2.573917533	1.41E-21	2.88E-18
Clec18a	-0.921389734	1.971653757	2.64E-21	4.71E-18
Bmper	0.726363425	5.861672837	6.53E-20	1.03E-16
Fgf11	-0.740755892	2.597070599	1.23E-19	1.76E-16
Necab3	-0.473892618	4.681479218	1.54E-19	2.00E-16
Stc1	-0.87837801	1.559512378	2.39E-19	2.84E-16
Grp	-0.967322134	1.516144151	3.31E-19	3.63E-16
Tmc1	-1.33259399	0.441173582	3.72E-17	3.79E-14
Rpe65	-1.254071651	0.400928854	1.24E-16	1.18E-13
Igfbp2	-0.633578844	3.22310777	2.47E-16	2.20E-13
Amz1	-0.540130325	3.347184184	4.77E-16	4.00E-13
Cyp2s1	-0.825212794	1.606399056	1.09E-15	8.60E-13
Adgrl2	0.469082747	7.914713449	5.77E-15	4.33E-12
Mpp4	-0.692151252	1.881362214	7.44E-15	5.31E-12
Flrt3	0.494549241	5.536853792	1.79E-14	1.22E-11
Rhbdl3	-0.424169715	4.646989221	2.49E-14	1.61E-11
Traip	-0.60959797	4.244539307	4.13E-14	2.56E-11
Cyp11a1	-0.890374552	1.408073638	7.97E-14	4.74E-11
Trabd2b	0.670799464	5.190952109	9.68E-14	5.52E-11
Bcl2l11	0.472795798	3.481935853	1.20E-13	6.57E-11
Npas1	-0.766209808	1.471910968	6.05E-13	3.20E-10
Tm6sf2	-0.930429752	1.03417743	9.82E-13	5.00E-10
Lrig1	0.322641217	6.212923468	1.48E-12	7.28E-10
Etnppl	0.821064284	4.782812035	2.07E-12	9.85E-10
F5	-0.94186823	1.559278575	2.24E-12	1.03E-09
Tenm3	0.497664754	8.802237809	2.58E-12	1.14E-09
Gm10863	-0.783678642	3.275626529	2.63E-12	1.14E-09
Trpc6	-0.483749251	5.243980017	2.78E-12	1.17E-09
Cdh6	0.43807808	6.284603173	3.94E-12	1.60E-09
Sh2d4b	-0.920802621	3.057112913	4.03E-12	1.60E-09
Papln	0.659936424	2.0456435	5.81E-12	2.24E-09
Sema5a	0.46902396	7.569037377	6.42E-12	2.41E-09
Tex40	-0.755367326	1.290893505	9.96E-12	3.64E-09
Dlk1	1.348421677	2.963153593	1.02E-11	3.64E-09
Aff1	0.432540298	5.992889544	1.47E-11	5.11E-09
Gm10635	-0.898816318	2.45439062	2.39E-11	8.11E-09
Pvalb	0.573679285	2.832821637	2.47E-11	8.18E-09
Myo3b	-0.75027218	3.221231383	2.52E-11	8.18E-09
Colq	-1.338297872	0.515775083	2.87E-11	9.09E-09
March4	-0.442975388	5.375314019	3.46E-11	1.07E-08
Gm10406	-1.049453636	0.44860507	3.99E-11	1.21E-08
Shisa7	-0.321536196	6.653811031	5.63E-11	1.67E-08
Prcp	-0.383160748	4.380608928	9.66E-11	2.81E-08
Tnfrsf23	-0.925253688	0.503032782	9.96E-11	2.84E-08
Cda	-0.997841371	1.114485034	1.07E-10	3.00E-08
Gm2762	-0.521197978	2.954022755	1.20E-10	3.30E-08
Lamc2	0.517169918	3.55140086	1.30E-10	3.49E-08
Lemd1	-0.450447388	4.250573352	1.39E-10	3.68E-08
L3mbtl1	-0.510157932	3.687004387	1.49E-10	3.87E-08
Plagl1	0.373362285	4.720178342	1.65E-10	4.21E-08
Kcnj13	-1.034506191	1.452719104	1.97E-10	4.94E-08
Gm5105	-1.096677194	0.148118975	2.37E-10	5.84E-08
Igf2bp2	0.580875624	2.971772439	2.67E-10	6.46E-08
Dgka	-0.509202598	3.052754911	3.54E-10	8.43E-08
E130008D07Rik	-0.618294776	1.792182607	4.06E-10	9.49E-08
Sdk1	0.726651875	7.656042973	4.12E-10	9.49E-08
Itga11	0.459649326	3.244025976	5.02E-10	1.14E-07
Aqp1	-0.916069375	0.735198635	5.43E-10	1.21E-07
Crip3	-0.899706941	0.475819342	5.57E-10	1.22E-07
Prss23	0.514391334	4.250653762	5.63E-10	1.22E-07
Vamp1	0.448309921	5.525010932	6.11E-10	1.30E-07
Bmpr1b	0.4995337	6.653429828	6.27E-10	1.32E-07
Hlf	0.330775254	6.93389257	8.57E-10	1.77E-07
Gpr153	-0.472812145	3.992198164	8.76E-10	1.77E-07
Ahsa2	-0.318053713	4.778861727	8.81E-10	1.77E-07
Slc29a4	-0.520729185	2.626125158	9.83E-10	1.95E-07
Gfra1	0.421179631	6.177435634	1.07E-09	2.09E-07
Dok3	-0.756004615	1.797737568	1.09E-09	2.10E-07
Cys1	-0.517486978	3.318527482	1.12E-09	2.12E-07
6030407O03Rik	-0.555191145	2.368036351	1.19E-09	2.22E-07
Fgf10	-0.661940227	2.812743657	1.20E-09	2.22E-07
Kcns1	0.598250147	3.310834534	1.24E-09	2.26E-07
4933432I09Rik	-0.831289376	1.190787008	1.25E-09	2.26E-07
Lifr	0.318661583	6.796664737	1.34E-09	2.39E-07
Ryr1	-0.457422491	5.156875983	2.32E-09	4.09E-07
Cdh4	0.465846549	6.887281682	2.43E-09	4.23E-07
1700086L19Rik	-0.334024209	4.958706664	2.83E-09	4.87E-07
Pygm	0.565047285	3.515301874	3.00E-09	5.07E-07
Tex29	-0.793135094	1.204589441	3.02E-09	5.07E-07
Nap1l5	0.638189277	6.181002161	3.10E-09	5.14E-07
A730017C20Rik	0.346319628	4.945928516	3.14E-09	5.14E-07
Efemp1	-0.471937018	3.516963606	3.27E-09	5.29E-07
Kcnip2	-0.289735851	6.169804142	3.61E-09	5.79E-07
Bcat1	0.321041551	6.10271603	3.75E-09	5.95E-07
Slc16a14	-0.388488563	3.642570653	4.20E-09	6.58E-07
Scn7a	-0.58940219	2.950025945	4.30E-09	6.66E-07
Dpy19l1	0.314070742	7.367460248	7.88E-09	1.21E-06
Gm10069	-0.500704677	2.792139993	9.04E-09	1.37E-06
Ociad2	0.301151655	5.499358936	9.44E-09	1.42E-06
Smad9	0.321725836	4.197511772	1.03E-08	1.53E-06
Tgm4	-0.917052725	0.61190468	1.33E-08	1.95E-06
Tspan4	-0.480702754	2.892135199	1.35E-08	1.96E-06
Tead1	0.332039725	6.500165777	1.69E-08	2.42E-06
B3galt1	0.442168639	5.383125002	1.70E-08	2.42E-06
