Gene	logFC	logCPM	PValue	FDR
Mecp2	-5.575131033	6.606475637	0	0
Irak1	0.698855257	5.715102444	2.54E-103	1.74E-99
Fgf11	-0.967482895	3.71680663	1.02E-69	4.67E-66
Cacna1g	-0.745094492	6.743130828	1.49E-64	5.12E-61
Sdk1	0.701307475	4.871605532	8.11E-57	2.22E-53
Pappa2	-1.678211694	1.903897841	9.61E-54	2.20E-50
Tenm3	0.483008057	8.020325629	2.37E-46	4.65E-43
Scn3b	-0.423932577	7.050235103	1.32E-42	2.26E-39
Igfbp2	-0.7376677	4.986893261	3.51E-34	5.35E-31
Auts2	0.456085785	6.857233561	9.41E-33	1.29E-29
Gpr153	-0.690576149	5.431311937	5.52E-32	6.88E-29
Adgrl2	0.435163455	6.818857479	1.58E-31	1.80E-28
Cplx3	-0.727207717	3.778948892	2.85E-31	3.01E-28
Fam43a	0.471090768	5.190581722	6.67E-31	6.53E-28
Adra2a	-0.476551386	5.030836527	3.05E-30	2.79E-27
Tnnc1	-1.224920688	1.785981957	3.50E-30	3.00E-27
Cyp2s1	-1.066456841	2.636918481	7.04E-30	5.68E-27
Plxna3	-0.422075878	4.831409487	1.97E-26	1.50E-23
Hpcal4	-0.37898359	10.48153543	7.82E-26	5.64E-23
Abca8a	-1.011815812	2.223762015	1.16E-25	7.95E-23
Rasgef1b	0.355435157	6.50651496	1.94E-25	1.27E-22
Hcrtr1	-1.205674203	1.385688792	1.61E-24	1.00E-21
Stc1	-1.176751827	1.393130662	2.16E-24	1.29E-21
Arhgap10	0.421808984	5.540286043	2.99E-24	1.71E-21
Arhgdig	-0.455305271	5.468824828	9.67E-24	5.31E-21
Grk5	-0.461536331	3.99954016	1.22E-23	6.22E-21
Hkdc1	-0.781864735	3.046349809	1.22E-23	6.22E-21
Htr1a	-0.55215871	4.328927383	2.52E-23	1.21E-20
Smad9	0.485276201	4.183449415	2.57E-23	1.21E-20
March4	-0.519170897	4.67106151	3.37E-23	1.54E-20
Efnb3	-0.390826356	7.046276434	5.94E-23	2.63E-20
Tshz2	0.406084071	6.05927795	8.62E-23	3.70E-20
Aldh1a3	-1.523706017	0.3833499	1.03E-22	4.30E-20
Cdh4	0.437992066	5.690437583	1.18E-22	4.70E-20
Fmn1	0.392514425	6.029944608	1.20E-22	4.70E-20
Nrep	-0.531714478	5.925775592	1.59E-22	6.05E-20
Tenm2	0.315692741	7.455521168	9.37E-22	3.47E-19
Tubb2b	-0.435250137	6.384680303	1.17E-21	4.23E-19
Pxdn	-0.398531204	5.55585011	1.23E-21	4.32E-19
Slc29a4	-0.631049541	4.052996488	2.14E-21	7.34E-19
Pcdh9	0.449458227	7.349199261	2.42E-21	8.11E-19
Grin2d	-0.562288739	4.26058115	4.82E-21	1.57E-18
