Probe Name	KO	StDev of KO	WT	StDev of WT	KO vs. WT	P value of: KO vs. WT	FDR adjusted pvalue of: KO vs. WT
2700081O15Rik	733.1	44.84	870.94	74.54	-0.25	0.00012775	0
5930412G12Rik	9.65	2.55	11.79	3.14	-0.29	0.10965188	0.67
Aars	2004.95	131.52	1929.65	184.69	0.06	0.31611231	1
Abca5	461.94	55.56	364.72	52.05	0.34	0.00068121	0.01
Abca8a	30.06	3.98	58.04	10.69	-0.95	0.00000009	0
Ackr3	119.08	17.55	87.65	21.7	0.44	0.00388081	0.03
Adcyap1	79.87	14.93	105.64	10.17	-0.4	0.00093197	0.01
Afap1l1	652.87	45.96	506.99	54.65	0.36	0.00001342	0
Aff1	162.91	18.56	131.75	15.44	0.31	0.00067408	0.01
Amz1	86.22	11.03	112.08	17.89	-0.38	0.00129212	0.01
Ankrd33b	383.97	25.62	301.77	27.78	0.35	0.00000569	0
Arhgap10	572.16	32.16	434.88	66.43	0.4	0.00016333	0
Arhgap33	92.7	14.07	114.11	12.71	-0.3	0.00234624	0.02
Arhgdig	281.13	27.68	355.47	51.39	-0.34	0.00074711	0.01
Asb7	77.17	9.51	71.95	9.52	0.1	0.22006355	1
Asic4	275.56	34.24	362.7	44.92	-0.4	0.00009057	0
Auts2	1103.71	42.21	784.28	55.19	0.49	0.00000001	0
B930041F14Rik	108.32	16.01	88.47	17.08	0.29	0.01796371	0.12
Bcat1	3654.01	275.52	3161.32	389.45	0.21	0.00567947	0.04
Bcl2l11	34.37	7.59	25.27	7.01	0.44	0.01129856	0.08
Bcl9l	227.48	14.9	258.66	24.17	-0.19	0.00295991	0.02
Bmper	325.06	45.61	200.98	26.8	0.69	0.00000037	0
C1qtnf1	84.33	12.25	111.14	11.94	-0.4	0.00015898	0
Cacna1g	193.22	19.42	290.28	40.99	-0.59	0.00000113	0
Camk1	1276.79	124.51	1525.76	259.57	-0.26	0.01091326	0.07
Camk2d	1520.14	93.87	1258.23	89.45	0.27	0.00000424	0
Cbx7	419.23	25.76	343.09	29.25	0.29	0.00001359	0
Ccdc127	1134.98	51.99	1109.28	103.6	0.03	0.51515353	1
