Gene	logFC	logCPM	PValue	FDR
Cacna1g	-0.597704536	6.227813528	1.51E-25	2.13E-21
Scn9a	-0.736171051	4.015623695	1.31E-21	9.23E-18
Rasal1	-0.365573418	5.287849668	1.73E-19	8.13E-16
Ptgfrn	0.384198327	5.350288938	1.42E-17	5.00E-14
Clec18a	-0.825728488	1.910396334	1.76E-16	4.98E-13
Grp	-0.902978085	1.032503333	9.22E-16	1.99E-12
Bmper	0.448744899	5.871383653	9.88E-16	1.99E-12
Cftr	-0.688909092	2.63929438	1.39E-15	2.45E-12
Fat1	0.383377065	6.912275392	1.97E-15	3.09E-12
Scn3b	-0.358661924	5.699049256	7.77E-15	1.10E-11
Necab3	-0.379702394	4.544481107	9.17E-15	1.16E-11
Pappa2	-0.897241472	1.415957689	1.04E-14	1.16E-11
Tead1	0.383230548	6.582577832	1.07E-14	1.16E-11
Lpl	-0.645693515	2.596838949	2.47E-14	2.41E-11
Robo3	-0.706179646	3.343566478	2.56E-14	2.41E-11
Fgf10	-0.671691354	3.076771142	4.89E-14	4.32E-11
Scn7a	-0.642523831	2.881599298	6.40E-14	5.31E-11
Grin3a	-0.301162875	6.133750071	6.95E-14	5.45E-11
Vcan	-0.417419382	6.019543667	8.36E-14	6.22E-11
Prkcg	-0.350954217	6.053207424	1.03E-13	7.25E-11
Mrap2	-0.705206413	2.013159028	1.83E-13	1.23E-10
Hrh3	-0.479725662	4.488597784	3.10E-13	1.91E-10
Amz1	-0.495082047	3.357973128	3.11E-13	1.91E-10
Olfr78	-1.234752158	0.380931918	6.89E-13	4.05E-10
Slc29a4	-0.64126518	2.24981488	7.52E-13	4.25E-10
Adamts16	-0.446913452	4.299448552	1.16E-12	6.31E-10
Gpr153	-0.504915345	3.911394603	1.29E-12	6.77E-10
Gm13986	-0.688792749	2.343739201	1.43E-12	7.21E-10
Cd302	0.439886734	3.277267968	9.86E-12	4.80E-09
Shroom3	0.398667237	4.534114013	1.15E-11	5.43E-09
Fhdc1	0.45164481	3.633442096	1.27E-11	5.81E-09
Dsel	-0.316401941	5.225520022	1.60E-11	7.04E-09
Glra3	-0.60214092	3.722422033	1.94E-11	8.31E-09
Fgf11	-0.666489061	2.457579807	3.15E-11	1.31E-08
2410018L13Rik	-0.733624279	1.476914823	3.27E-11	1.32E-08
Stc1	-0.736666891	1.249703363	5.78E-11	2.24E-08
Slc6a7	-0.401061217	4.62025769	5.88E-11	2.24E-08
Plagl1	0.370567358	4.544396815	8.27E-11	3.07E-08
Eda	-0.431144337	5.633521871	1.12E-10	4.00E-08
Megf10	0.288766478	5.977663058	1.13E-10	4.00E-08
Rhbdl3	-0.338455796	4.558930667	1.21E-10	4.16E-08
Cdh6	0.34729338	6.262635613	1.35E-10	4.53E-08
Prss23	0.447102117	3.78578203	2.60E-10	8.54E-08
Oprk1	-0.46451874	3.439764538	3.53E-10	1.11E-07
Car4	-0.388157148	3.879710179	3.54E-10	1.11E-07
Cdk18	-0.450106921	3.043975418	3.83E-10	1.18E-07
Kcng1	-0.464235807	3.093424381	4.07E-10	1.22E-07
Npas1	-0.66439061	1.475869033	5.32E-10	1.57E-07
Adgrl2	0.290751713	7.919448011	7.49E-10	2.16E-07
Dpy19l1	0.335857115	7.201751636	8.70E-10	2.46E-07
Trpv6	-0.735139623	1.10788524	1.00E-09	2.78E-07
Ar	-0.306513053	5.575760328	1.04E-09	2.81E-07
Spag6l	-0.428881455	3.999052289	1.07E-09	2.84E-07
Cpne9	-0.408064084	3.900627361	1.34E-09	3.50E-07
Zfp516	0.332120102	6.351151103	1.51E-09	3.87E-07
Fxyd7	-0.43985066	2.952370286	1.56E-09	3.94E-07
Hkdc1	-0.53313403	2.314406684	1.93E-09	4.72E-07
Doc2a	-0.528193009	2.877161214	1.94E-09	4.72E-07
Tacr3	-0.626734055	1.392604751	2.10E-09	5.03E-07
Efnb3	-0.354531548	4.884055113	2.26E-09	5.32E-07
Igf2bp2	0.609359734	2.660873327	2.45E-09	5.68E-07
Crybg3	0.439998355	4.402836771	3.18E-09	7.24E-07
Abca8a	-0.620828068	3.063899471	3.94E-09	8.84E-07
Crb1	-0.538047205	2.276585896	4.02E-09	8.86E-07
Kcnip2	-0.300318452	6.048568574	4.16E-09	9.05E-07
Sema5a	0.310262315	7.479236108	4.66E-09	9.97E-07
Rpe65	-0.95384737	0.768541356	4.98E-09	1.04E-06
Sdk1	0.425893197	7.681416258	5.00E-09	1.04E-06
Pacsin2	0.367540725	6.086229325	5.79E-09	1.19E-06
Myo1e	0.34633317	5.545063876	6.10E-09	1.23E-06
Mme	-0.373377233	4.512557791	7.62E-09	1.51E-06
Sipa1l2	0.240777898	6.240912419	7.77E-09	1.52E-06
Gm5607	0.357289072	4.355131501	8.04E-09	1.54E-06
Susd5	-0.494429717	1.973183509	8.07E-09	1.54E-06
Dcdc2c	-0.829632959	0.793968211	9.88E-09	1.86E-06
Atp6v1c2	-0.532984198	1.86997337	1.10E-08	2.04E-06
9030624G23Rik	-0.570990647	1.943656472	1.31E-08	2.40E-06
6430573F11Rik	0.407600436	4.374689349	1.45E-08	2.62E-06
Gpc4	0.345248917	4.57880428	1.72E-08	3.07E-06
Dnah7c	-0.408617124	3.403125966	1.78E-08	3.14E-06
Bcl2l11	0.35879275	3.287772944	1.80E-08	3.14E-06
Mndal	-0.615053546	1.394225243	1.85E-08	3.19E-06
Sla	-0.362974162	3.488878994	1.95E-08	3.32E-06
Plod2	0.322518681	4.3894454	2.17E-08	3.65E-06
Gm10033	-0.263698058	4.651494683	2.49E-08	4.13E-06
1700086L19Rik	-0.304155895	4.883874991	2.69E-08	4.42E-06
Nab1	0.234050548	6.012623741	2.90E-08	4.71E-06
Thbs3	-0.554703968	2.292944762	3.10E-08	4.97E-06
Pdlim3	0.696307812	0.907465353	3.42E-08	5.43E-06
Slc30a3	-0.320845004	4.140099547	3.53E-08	5.54E-06
Mycl	-0.61464354	2.299389548	3.92E-08	6.08E-06
Gm10406	-0.82375691	0.521888895	4.07E-08	6.20E-06
Adamtsl1	0.270542242	5.689361938	4.09E-08	6.20E-06
Efcab1	-0.536436383	2.448796153	4.25E-08	6.38E-06
Bmpr1b	0.314804363	6.708021926	5.05E-08	7.50E-06
Gm13629	0.398930586	5.120317625	5.22E-08	7.67E-06
Bcat1	0.286517555	5.915317684	6.28E-08	9.13E-06
Kl	-0.503877998	2.911591655	6.50E-08	9.37E-06
Rbm20	0.408188806	4.487805508	6.65E-08	9.49E-06
Cds1	0.243506782	6.794110298	7.87E-08	1.10E-05
Grin2d	-0.510363335	2.43782643	7.87E-08	1.10E-05
Crhbp	0.619293654	2.154326365	8.18E-08	1.13E-05
Rapgefl1	-0.27695444	5.56058251	8.27E-08	1.13E-05
Gfra1	0.263581503	6.074349198	1.03E-07	1.39E-05
Ccnd1	-0.374991463	3.725887281	1.13E-07	1.52E-05
Ptbp3	0.207740635	6.315736877	1.37E-07	1.82E-05
Myo3b	-0.478640308	3.363282717	1.51E-07	1.99E-05
Enpp1	0.447553202	2.953799034	1.56E-07	2.03E-05
Ccnd2	-0.263757599	5.718438695	1.59E-07	2.05E-05
Papln	0.5021408	2.094769068	1.63E-07	2.09E-05
Igsf3	0.353960359	5.52021283	1.67E-07	2.13E-05
Grik5	-0.236337572	6.99223404	2.15E-07	2.71E-05
Gap43	-0.30507686	6.307903784	2.27E-07	2.84E-05
Mgat5b	-0.216989514	6.052372644	2.46E-07	3.04E-05
Esr1	-0.400271258	2.711308813	2.48E-07	3.04E-05
Slc16a10	0.363799353	4.979979953	2.75E-07	3.35E-05
Tfcp2l1	0.431531383	3.165923444	2.95E-07	3.54E-05
Rcor2	-0.48080228	2.103556828	2.96E-07	3.54E-05
Smad3	0.256024762	7.0100697	3.09E-07	3.67E-05
Fstl1	-0.234454674	5.344392156	3.47E-07	4.09E-05
Wdr17	-0.279463815	6.604696093	3.53E-07	4.12E-05
Vamp1	0.295501336	5.227706751	3.93E-07	4.54E-05
Gm2762	-0.388313815	2.982771723	4.11E-07	4.72E-05
Ncaph	-0.631466629	0.861278467	4.21E-07	4.80E-05
Scube3	-0.472150013	1.739765671	4.53E-07	5.07E-05
Fam124a	-0.245332865	5.055911975	4.53E-07	5.07E-05
Wnt9a	-0.359494287	3.270555077	4.61E-07	5.11E-05
Afap1l1	0.312703978	5.210088759	4.63E-07	5.11E-05
Faah	-0.227255912	5.72904182	5.00E-07	5.48E-05
Slc29a1	-0.459769951	2.833629488	5.15E-07	5.60E-05
Npr3	-0.307900564	4.580078533	5.27E-07	5.68E-05
Col11a2	-0.460661947	2.919601293	5.69E-07	6.04E-05
Lrig1	0.234291446	6.04318993	5.71E-07	6.04E-05
Plxna3	-0.305743796	3.689483	5.76E-07	6.04E-05
Ston2	0.271098805	5.771894156	5.77E-07	6.04E-05
Htr1a	-0.534861342	2.286044506	6.32E-07	6.56E-05
Cdh4	0.45267513	6.965550049	6.79E-07	6.99E-05
Necab2	-0.255342212	4.475600744	7.42E-07	7.59E-05
Calb1	-0.252422844	5.841696781	7.55E-07	7.67E-05
Rasgef1b	0.237422309	6.017097552	7.63E-07	7.69E-05
Tanc1	0.341824305	7.02299752	8.04E-07	8.05E-05
