Gene	logFC	logCPM	PValue	FDR
Cacna1g	-0.539403144	6.315054954	2.42E-29	3.43E-25
Ptgfrn	0.428827249	5.624112959	8.59E-28	6.09E-24
Grin3a	-0.372860115	6.263957383	2.21E-19	7.96E-16
Slc6a7	-0.382104256	4.834007241	2.25E-19	7.96E-16
Mycl	-0.626241962	2.814669429	3.07E-19	8.71E-16
Lpl	-0.599697361	3.355797639	3.27E-18	7.73E-15
Rpe65	-1.159482216	0.883696139	1.84E-17	3.74E-14
Fgf10	-0.71918849	3.174984183	6.66E-17	1.18E-13
Rasal1	-0.390366685	5.332928348	1.73E-16	2.73E-13
Abca8a	-0.726961844	3.224084708	2.85E-16	4.05E-13
Hkdc1	-0.602788747	2.448472919	8.07E-16	1.04E-12
Fgf11	-0.650085346	2.789377982	1.14E-15	1.35E-12
Scn9a	-0.866581987	3.890272785	5.18E-15	5.65E-12
Pappa2	-0.982856571	1.49139957	1.01E-14	1.02E-11
Bmper	0.456587763	5.715510629	2.26E-14	2.13E-11
Scn7a	-0.587856269	3.15896242	3.86E-14	3.42E-11
Plagl1	0.385411977	4.770991309	5.70E-14	4.57E-11
Grp	-0.768833494	1.362011755	5.79E-14	4.57E-11
Ar	-0.420872835	5.689886255	1.01E-13	7.54E-11
Necab3	-0.363408709	4.684126171	2.35E-13	1.67E-10
Scn3b	-0.349085329	6.122926149	2.51E-13	1.70E-10
Bcl2l11	0.431421179	3.397912603	3.10E-13	2.00E-10
AW551984	-0.943832049	2.053840343	3.73E-13	2.30E-10
Lamc2	0.433139663	3.649610725	7.59E-13	4.32E-10
Slc29a4	-0.610808204	2.326350115	7.61E-13	4.32E-10
Stc1	-0.738618614	1.540057181	1.93E-12	1.05E-09
Glra3	-0.758562723	3.799965445	2.21E-12	1.16E-09
Fat1	0.358141637	7.226386848	2.71E-12	1.37E-09
Tacr3	-0.695338324	1.653887879	6.62E-12	3.24E-09
Kcng1	-0.469798887	3.543826221	7.11E-12	3.31E-09
Robo3	-0.604003636	3.22135743	7.23E-12	3.31E-09
Hrh3	-0.447000315	4.91159229	1.00E-11	4.44E-09
Igfbp2	-0.548441693	3.105993531	1.45E-11	6.24E-09
Amz1	-0.442228668	3.267946255	1.80E-11	7.51E-09
Gm5607	0.380732978	4.480969103	1.94E-11	7.88E-09
Sema5a	0.321966395	7.576703059	2.33E-11	9.18E-09
Prkcg	-0.330700079	6.371342148	3.71E-11	1.42E-08
Dpy19l1	0.349870465	7.438449028	4.07E-11	1.52E-08
Mrap2	-0.553751165	2.077998753	1.06E-10	3.85E-08
Tanc1	0.350635029	6.851764611	1.25E-10	4.43E-08
Car4	-0.407928081	3.963003451	1.58E-10	5.46E-08
Tead1	0.338820934	6.218341383	1.72E-10	5.82E-08
Efemp1	-0.437851843	3.704747803	1.92E-10	6.31E-08
Gfra1	0.30991483	5.967632701	1.96E-10	6.31E-08
Zak	0.319864917	4.947735057	2.01E-10	6.33E-08
Oprk1	-0.457729668	3.617107464	2.09E-10	6.46E-08
Anxa11	0.351330782	4.545124904	2.68E-10	8.09E-08
Ntn5	0.594075774	2.488971946	3.62E-10	1.07E-07
Mme	-0.42103141	4.654665862	3.70E-10	1.07E-07
Flrt3	0.299157321	5.699236752	4.36E-10	1.24E-07
Dsel	-0.317228457	5.364813819	4.49E-10	1.25E-07
Kl	-0.573721436	3.52260673	4.62E-10	1.26E-07
Zfp516	0.331013139	6.282151257	5.04E-10	1.35E-07
Pacsin2	0.399763621	6.050217266	5.28E-10	1.39E-07
Pls3	-0.24092998	6.666540285	6.52E-10	1.68E-07
Fxyd7	-0.396503723	3.199064682	7.66E-10	1.94E-07
Ccnd1	-0.414594454	4.189457991	7.90E-10	1.97E-07
Cftr	-0.564061737	2.519787459	8.16E-10	1.97E-07
Papln	0.538027688	2.020901358	8.20E-10	1.97E-07
Smad9	0.354077994	4.022263596	9.80E-10	2.32E-07
Cdh4	0.533628852	6.33566718	1.10E-09	2.57E-07
Fhdc1	0.44955369	3.747626115	1.18E-09	2.71E-07
Efnb3	-0.345160523	5.364967964	1.21E-09	2.72E-07
Ttr	-0.797667466	6.830982185	1.23E-09	2.72E-07
Cds1	0.262946188	6.939319501	1.39E-09	3.04E-07
F5	-0.839833372	1.543227861	1.51E-09	3.26E-07
Crybg3	0.371832043	4.367887398	1.71E-09	3.61E-07
Pcdh19	-0.242024725	6.465034237	1.77E-09	3.68E-07
Bcat1	0.282661647	6.090404997	2.05E-09	4.22E-07
Shroom3	0.391159866	4.370515163	2.31E-09	4.67E-07
Rhbdl3	-0.321340734	4.396154346	2.61E-09	5.22E-07
Efcab1	-0.525792159	2.554173115	2.89E-09	5.70E-07
Calb1	-0.314207253	6.144774433	2.97E-09	5.77E-07
Gpr153	-0.474659631	4.119703791	3.61E-09	6.92E-07
Cdh6	0.302840975	6.314624044	3.69E-09	6.93E-07
Rnd3	0.334951245	4.870924024	3.71E-09	6.93E-07
Htr1a	-0.533573087	3.069535195	4.27E-09	7.87E-07
Eda	-0.443593673	5.481549153	4.51E-09	8.20E-07
Ociad2	0.303964803	5.42568254	6.13E-09	1.10E-06
6430573F11Rik	0.381100429	4.38276165	6.19E-09	1.10E-06
Kcnip2	-0.254655897	6.130913899	6.34E-09	1.11E-06
C1qtnf1	-0.57080612	1.606180504	7.43E-09	1.29E-06
Deptor	0.249817937	5.49939846	8.26E-09	1.41E-06
Rasgef1b	0.266604943	6.125545065	8.56E-09	1.45E-06
Pth2r	-0.59036359	1.805415479	1.18E-08	1.96E-06
Adgrl2	0.27127085	7.926156122	1.32E-08	2.18E-06
Prss23	0.402717929	4.074269113	1.43E-08	2.31E-06
Ldlrad3	0.310692496	6.262065651	1.43E-08	2.31E-06
Igf2bp2	0.552477174	2.479550481	1.46E-08	2.31E-06
Col6a1	0.288753533	4.354502213	1.47E-08	2.31E-06
Sgpp2	0.264066949	4.979430974	1.56E-08	2.43E-06
Gm10033	-0.31477953	4.643432987	1.91E-08	2.94E-06
Fam43a	0.407858037	3.584447065	1.93E-08	2.94E-06
Vcan	-0.461525572	6.120070389	2.19E-08	3.30E-06
Rbm20	0.439820642	4.118147972	2.29E-08	3.42E-06
Dlk1	0.753178174	2.841668475	3.24E-08	4.79E-06
Gabra3	-0.264071973	6.422833061	3.47E-08	5.08E-06
Spag6l	-0.397376003	4.062827681	3.62E-08	5.25E-06
Doc2a	-0.4279835	3.380042434	4.12E-08	5.91E-06
Tmem2	0.239885469	5.712240472	4.41E-08	6.26E-06
Ly6h	-0.315727349	5.122054486	4.51E-08	6.34E-06
Ifi203	-0.849752959	0.805588368	5.25E-08	7.30E-06
Sstr1	-0.361234255	4.049264968	5.44E-08	7.47E-06
Rab26	-0.284117406	3.841089964	5.47E-08	7.47E-06
C2cd4c	-0.449344766	3.123434271	5.78E-08	7.81E-06
Slc16a10	0.416397751	4.717492477	5.92E-08	7.86E-06
Sipa1l2	0.241449167	6.255022915	5.93E-08	7.86E-06
Epb41	0.293142951	7.043917167	6.25E-08	8.21E-06
Kcnj13	-1.022581092	1.467300329	6.62E-08	8.62E-06
Smad3	0.296156704	6.63861161	6.90E-08	8.90E-06
Colec12	-0.396997344	4.048444785	8.02E-08	1.03E-05
Sla	-0.39711103	3.415847279	8.10E-08	1.03E-05
Grin2d	-0.434876986	2.730126741	1.12E-07	1.40E-05
Ankrd33b	0.338202167	7.402633782	1.20E-07	1.49E-05
Dnah7c	-0.468803425	3.387343848	1.30E-07	1.59E-05
Zfp52	-0.350281152	3.571113863	1.31E-07	1.59E-05
Emid1	-0.369497397	3.157292839	1.31E-07	1.59E-05
Wnt7b	-0.327472104	4.253920167	1.32E-07	1.59E-05
