Gene	logFC	logCPM	PValue	FDR
Cacna1g	-0.66377273	6.839955076	5.85E-37	7.99E-33
Grp	-0.958688083	2.413720458	1.84E-31	1.26E-27
Fgf11	-0.688764705	3.805955968	2.90E-28	1.32E-24
Hkdc1	-0.786739383	3.163722571	2.31E-27	7.90E-24
Ptgfrn	0.439077514	6.452308205	5.79E-25	1.58E-21
Sdk1	0.533518492	4.847957404	7.03E-25	1.60E-21
Pappa2	-0.961037772	2.091070755	9.92E-23	1.94E-19
Tnnc1	-1.225693657	1.748781467	3.96E-22	6.78E-19
Htr1a	-0.691797423	4.357252402	1.64E-20	2.49E-17
Cdh4	0.430865894	5.600621318	1.13E-19	1.55E-16
Gpr153	-0.65285686	5.605875338	9.68E-19	1.20E-15
Bmper	0.570814869	3.800986681	1.61E-18	1.84E-15
Slc29a4	-0.53384816	3.903973128	2.99E-17	3.14E-14
Runx2	0.642862523	3.222117592	1.12E-16	1.09E-13
Fmn1	0.385101733	6.09351531	1.01E-15	9.22E-13
Hpcal4	-0.351019309	10.60551658	1.10E-15	9.40E-13
Cplx3	-0.541852314	3.926114717	1.40E-15	1.07E-12
Cyp2s1	-0.633873802	2.841029913	1.40E-15	1.07E-12
Fam43a	0.487094704	5.294170243	2.11E-15	1.52E-12
AW551984	-1.137842769	3.73770547	2.54E-15	1.74E-12
Clec18a	-0.919981662	1.041932559	3.45E-15	2.24E-12
Tenm3	0.368127113	7.90741078	5.24E-14	3.26E-11
Sstr1	-0.484363783	5.319806645	8.33E-14	4.95E-11
Pacsin2	0.382709766	5.664855377	9.94E-14	5.56E-11
Pxdn	-0.39726749	5.548475302	1.02E-13	5.56E-11
Arhgap10	0.370760445	5.55955615	1.27E-13	6.67E-11
Bcat1	0.288922574	7.281357366	3.06E-13	1.46E-10
Rpe65	-1.161835137	0.414201218	3.07E-13	1.46E-10
Nov	-0.428253767	6.452286642	3.11E-13	1.46E-10
Lrrc75b	-0.41131593	4.040809838	8.37E-13	3.82E-10
Mycl	-0.489324039	4.647247409	9.22E-13	4.07E-10
Plekha5	0.328321295	5.935422284	1.15E-12	4.91E-10
Tanc1	0.422889939	6.213235407	1.26E-12	5.06E-10
Abca8a	-0.700076702	2.322878629	1.26E-12	5.06E-10
Arhgap33	-0.352410182	7.5584966	1.34E-12	5.22E-10
Nrep	-0.461924761	5.904786015	1.39E-12	5.26E-10
Fzd8	-0.548825336	2.69846651	1.86E-12	6.86E-10
Kcns1	0.404644848	5.071019959	2.90E-12	1.04E-09
Shroom3	0.442196269	3.414781838	3.07E-12	1.08E-09
Oxtr	-0.588635723	3.261155347	3.24E-12	1.11E-09
Dlk1	0.809871897	4.64527006	4.34E-12	1.45E-09
March4	-0.444764247	4.497099553	5.12E-12	1.67E-09
Npbwr1	-1.351424105	0.313789508	5.69E-12	1.80E-09
Cds1	0.246411344	7.19870084	5.80E-12	1.80E-09
Scn3b	-0.333370223	6.997645209	8.62E-12	2.62E-09
Grin2d	-0.549526216	4.288971176	1.14E-11	3.40E-09
Nell1	0.366034238	6.736984052	1.42E-11	4.13E-09
Myl4	-0.611604962	3.747508486	1.84E-11	5.25E-09
Igfbp2	-0.440840005	5.04842252	2.22E-11	6.19E-09
Grin3a	-0.352075628	6.108287842	2.60E-11	7.10E-09
Slc6a7	-0.30734781	6.30791137	2.99E-11	7.93E-09
Susd5	-0.52930546	2.703984227	3.02E-11	7.93E-09
Rcor2	-0.460608957	3.560687117	4.41E-11	1.14E-08
Met	-0.504908374	3.498478125	5.06E-11	1.28E-08
Cdk18	-0.357247914	5.222596792	6.13E-11	1.52E-08
Lpl	-0.654653326	3.226424613	7.18E-11	1.75E-08
Wnt7b	-0.344308366	5.892516203	8.43E-11	2.00E-08
Pth2r	-0.968013401	0.388675694	8.46E-11	2.00E-08
Nrtn	-0.702049994	1.655616492	8.88E-11	2.06E-08
Vamp1	0.388127806	7.801724643	1.06E-10	2.41E-08
Sptb	0.261248922	8.788029845	1.08E-10	2.41E-08
Anxa11	0.426684076	5.077257451	1.15E-10	2.54E-08
Sla	-0.508444153	3.062551293	1.36E-10	2.95E-08
Rims3	0.390398329	6.389353991	1.90E-10	4.06E-08
Doc2a	-0.331063982	5.537006296	2.16E-10	4.54E-08
C2cd4c	-0.371294912	4.874937199	2.68E-10	5.55E-08
Gap43	-0.436497605	6.005926838	2.92E-10	5.95E-08
Mmp15	-0.38427272	5.158362948	3.27E-10	6.57E-08
Scn7a	-0.65925193	2.222452835	4.72E-10	9.36E-08
Sprn	-0.238640175	7.575933697	5.03E-10	9.82E-08
Auts2	0.356507282	6.489381445	5.95E-10	1.15E-07
Col11a2	-0.53150411	3.573366733	6.49E-10	1.23E-07
Hmgb3	-0.59710053	2.081369844	7.15E-10	1.34E-07
Sipa1l2	0.296532426	7.23096058	9.67E-10	1.77E-07
Peg10	0.453023892	5.954823517	9.71E-10	1.77E-07
Robo3	-0.687618732	2.214769522	1.02E-09	1.83E-07
Afap1l1	0.341043715	4.96764964	1.11E-09	1.97E-07
Cntnap5c	-0.402686729	3.303679893	1.14E-09	2.00E-07
Npas1	-0.479046598	3.054199688	1.16E-09	2.01E-07
Aldh1a3	-1.047730147	0.122940728	1.20E-09	2.05E-07
Grm3	-0.272600714	6.919425265	1.46E-09	2.47E-07
Chia1	-0.873850687	0.615874699	1.62E-09	2.70E-07
Cd34	-0.333571181	6.180919649	2.23E-09	3.67E-07
Mast4	0.29734932	6.673124923	2.45E-09	3.99E-07
Bcl2l11	0.414267753	3.376614945	2.52E-09	4.05E-07
Trpc6	-0.374887625	5.260614256	2.64E-09	4.19E-07
Sytl1	1.001763222	0.281649673	2.87E-09	4.51E-07
Rhbdl3	-0.338042462	5.072123517	3.15E-09	4.89E-07
Cyp11a1	-0.641888479	1.447018059	3.19E-09	4.90E-07
Hrh3	-0.318021204	6.704846852	3.23E-09	4.91E-07
Sema3f	-0.432520001	3.917256693	4.46E-09	6.71E-07
Tshz1	0.596187336	5.481445502	5.46E-09	8.12E-07
